                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                  1.455,                 1.1053,                  1.728,                0.88933,                0.80074,                0.89278,                0.61084,                 1.2299,                 1.0768,                 1.7698,                0.00637,                0.00637,                0.00637
                    112,                 1.3753,                 1.1237,                 1.7259,                0.83243,                 0.7602,                0.85572,                0.55593,                 1.3161,                  1.174,                 1.8448,               0.006337,               0.006337,               0.006337
                    113,                 1.4495,                 1.1989,                 1.7589,                0.82745,                0.76797,                 0.8622,                0.53997,                 1.4221,                 1.2373,                 1.9294,               0.006304,               0.006304,               0.006304
                    114,                 1.4329,                 1.1885,                 1.7716,                0.76121,                0.63529,                0.75136,                 0.4981,                 1.4506,                 1.4946,                 2.0066,               0.006271,               0.006271,               0.006271
                    115,                 1.3727,                 1.0514,                 1.6954,                0.89578,                0.72242,                0.85118,                0.56367,                 1.3098,                 1.1718,                  1.838,               0.006238,               0.006238,               0.006238
                    116,                 1.4119,                 1.1244,                 1.7038,                0.89173,                0.73276,                0.85843,                0.58467,                 1.3103,                 1.1649,                 1.8638,               0.006205,               0.006205,               0.006205
                    117,                 1.3621,                 1.0765,                 1.6612,                0.74029,                0.70107,                0.78125,                0.51212,                 1.3904,                 1.3553,                 1.9267,               0.006172,               0.006172,               0.006172
                    118,                 1.4116,                  1.148,                 1.8185,                0.92203,                0.75746,                0.88688,                 0.5991,                 1.2813,                  1.095,                 1.7957,               0.006139,               0.006139,               0.006139
                    119,                 1.4116,                 1.1078,                 1.7111,                0.91262,                0.81495,                0.91472,                0.63279,                 1.1917,                 1.0056,                 1.7213,               0.006106,               0.006106,               0.006106
                    120,                 1.3368,                 1.0574,                 1.6779,                0.88356,                0.83714,                0.91946,                0.64691,                  1.206,                0.97802,                 1.7406,               0.006073,               0.006073,               0.006073
                    121,                 1.3837,                 1.1208,                 1.7071,                0.89414,                0.75801,                0.88024,                0.60759,                 1.2704,                 1.0937,                 1.8095,                0.00604,                0.00604,                0.00604
